"","Country name","Year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","Confidence in national government","Democratic Quality","Delivery Quality","Standard deviation of ladder by country-year","Standard deviation/Mean of ladder by country-year","gini of household income reported in Gallup, by wp5-year"
"1","Afghanistan",2017,2.66171813011169,7.49775457382202,0.490880072116852,52.7999992370605,0.427010864019394,-0.112198285758495,0.954392552375793,0.496348559856415,0.371326178312302,0.261178523302078,-1.8865659236908,-1.43780755996704,1.45405077934265,0.546282768249512,0.286598861217499
"2","Afghanistan",2018,2.69430327415466,7.49458789825439,0.507515847682953,52.5999984741211,0.373535543680191,-0.0848878771066666,0.92760568857193,0.42412531375885,0.404904395341873,0.364666402339935,NA,NA,1.40834379196167,0.52271169424057,0.290681332349777
"3","Albania",2017,4.63954830169678,9.376145362854,0.637698292732239,68.4000015258789,0.749611020088196,-0.0326428152620792,0.876134634017944,0.669240891933441,0.333884119987488,0.457737535238266,0.299944996833801,-0.130315467715263,2.68210482597351,0.578096091747284,0.410487979650497
"4","Albania",2018,5.00440263748169,9.41239929199219,0.683591663837433,68.6999969482422,0.824212312698364,0.0053849508985877,0.899129390716553,0.713299572467804,0.318996727466583,0.435337960720062,NA,NA,2.64053082466125,0.527641534805298,0.456174194812775
"5","Algeria",2017,5.24891233444214,9.54063892364502,0.806753873825073,65.6999969482422,0.436670482158661,-0.191522106528282,0.699774205684662,0.64197963476181,0.288710027933121,NA,-0.927691161632538,-0.816839098930359,2.03976464271545,0.388607114553452,0.527555763721466
"6","Algeria",2018,5.04308605194092,9.55795192718506,0.798651337623596,65.9000015258789,0.583380579948425,-0.172413006424904,0.758704125881195,0.591042935848236,0.292945563793182,NA,NA,NA,1.97394287586212,0.391415655612946,0.66787189245224
"7","Argentina",2017,6.03933000564575,9.84870910644531,0.906699120998383,68.5999984741211,0.831966161727905,-0.182599917054176,0.8410524725914,0.809422612190247,0.291717261075974,0.305430293083191,0.351303786039352,-0.158055663108826,2.40932893753052,0.3989397585392,0.394175797700882
"8","Argentina",2018,5.79279661178589,9.80997180938721,0.89991158246994,68.8000030517578,0.845894694328308,-0.206936627626419,0.855255246162415,0.820309698581696,0.320502072572708,0.261352270841599,NA,NA,2.47255873680115,0.42683333158493,0.405355930328369
"9","Armenia",2017,4.28773641586304,9.08109474182129,0.697924911975861,66.5999984741211,0.613697052001953,-0.133957877755165,0.864683330059052,0.625013828277588,0.437148749828339,0.246900990605354,-0.633139133453369,-0.132938727736473,2.32537889480591,0.542332530021667,0.47887659072876
"10","Armenia",2018,5.06244850158691,9.11942386627197,0.81444901227951,66.9000015258789,0.80764365196228,-0.149108693003654,0.676826357841492,0.581487715244293,0.454840272665024,0.670827627182007,NA,NA,2.10211062431335,0.415235966444016,0.406403481960297
"11","Australia",2017,7.25703763961792,10.7065811157227,0.949957847595215,73.3000030517578,0.910550177097321,0.308772951364517,0.411346524953842,0.780078887939453,0.225360974669456,0.45340695977211,1.14008355140686,1.73567199707031,1.74569892883301,0.240552559494972,0.428340911865234
"12","Australia",2018,7.17699337005615,10.7210206985474,0.940137267112732,73.5999984741211,0.916028141975403,0.137795403599739,0.404647499322891,0.759018838405609,0.187456369400024,0.46883687376976,NA,NA,1.75028252601624,0.243874058127403,0.429814219474792
"13","Austria",2017,7.29372787475586,10.7240753173828,0.906217813491821,72.6999969482422,0.890030562877655,0.131114438176155,0.51830381155014,0.747568726539612,0.180268719792366,0.435907930135727,1.1894805431366,1.55931270122528,1.56106197834015,0.214028000831604,0.32294163107872
"14","Austria",2018,7.3960018157959,10.7418928146362,0.911668121814728,73,0.904111981391907,0.0515523329377174,0.52306056022644,0.752350389957428,0.226058796048164,0.488678723573685,NA,NA,1.55194008350372,0.209835007786751,0.299504399299622
"15","Azerbaijan",2017,5.15227937698364,9.67076206207275,0.787039399147034,65.1999969482422,0.731030464172363,-0.245215877890587,0.652539014816284,0.592359244823456,0.198318660259247,0.766583442687988,-1.16263282299042,-0.461928248405457,1.67375683784485,0.324857532978058,0.313743263483047
"16","Azerbaijan",2018,5.16799545288086,9.67801380157471,0.781229913234711,65.5,0.772449254989624,-0.251795291900635,0.56120628118515,0.592575371265411,0.191391661763191,0.83437192440033,NA,NA,1.86330211162567,0.360546380281448,0.260409832000732
"17","Bahrain",2017,6.22732067108154,10.6756935119629,0.87574714422226,68.5,0.905858516693115,0.128193482756615,NA,0.813570559024811,0.289759516716003,NA,-1.16743397712708,0.226644456386566,2.21552562713623,0.355775088071823,0.446609318256378
"18","Bangladesh",2017,4.3097710609436,8.1673469543457,0.712552785873413,63.7999992370605,0.896217167377472,0.0162690617144108,0.635014474391937,0.568827092647552,0.213505759835243,0.876646459102631,-0.932842969894409,-0.761903524398804,1.86536598205566,0.432822525501251,0.532750129699707
"19","Bangladesh",2018,4.49921703338623,8.22074604034424,0.705556035041809,64.3000030517578,0.901470839977264,-0.0380083359777927,0.701421201229095,0.541344702243805,0.361237794160843,0.831693112850189,NA,NA,2.15930318832397,0.479928642511368,0.367609113454819
"20","Belarus",2017,5.55291509628296,9.75080013275146,0.900255799293518,65.8000030517578,0.620979249477386,-0.129172563552856,0.654113411903381,0.540905773639679,0.232768073678017,0.447916299104691,-0.664460480213165,-0.539596855640411,1.66256368160248,0.299403756856918,0.283250212669373
"21","Belarus",2018,5.23376989364624,9.7787389755249,0.904569268226624,66.0999984741211,0.64360237121582,-0.181864842772484,0.718455493450165,0.450332850217819,0.235728621482849,0.421278685331345,NA,NA,1.69010710716248,0.322923451662064,0.293443888425827
"22","Belgium",2017,6.92834758758545,10.6609840393066,0.921639084815979,71.8000030517578,0.856801986694336,0.0517601482570171,0.543046057224274,0.78636759519577,0.233597695827484,0.449731916189194,0.904255330562592,1.31666731834412,1.5100132226944,0.217947095632553,0.354373842477798
"23","Belgium",2018,6.89217185974121,10.6724452972412,0.929815530776978,72,0.808386623859406,-0.127278342843056,0.630411803722382,0.749562740325928,0.250297337770462,0.441944539546967,NA,NA,1.54809069633484,0.224615797400475,0.299524575471878
"24","Benin",2017,4.85318088531494,7.63251543045044,0.435878992080688,53.9000015258789,0.726808249950409,-0.0428110808134079,0.767234623432159,0.614722311496735,0.457920342683792,0.615089297294617,0.211715877056122,-0.571933686733246,2.99812650680542,0.617765247821808,0.577069699764252
"25","Benin",2018,5.81982707977295,7.66390705108643,0.5035440325737,54.2999992370605,0.713264048099518,0.0246611647307873,0.746510744094849,0.646655142307281,0.467871814966202,0.639219760894775,NA,NA,3.31329798698425,0.56931209564209,0.606243252754211
"26","Bolivia",2017,5.65055274963379,8.83722114562988,0.778661787509918,63.2999992370605,0.883904933929443,-0.11527493596077,0.819261968135834,0.698195397853851,0.433943539857864,0.427632957696915,-0.164411470293999,-0.7885861992836,2.25048422813416,0.398276835680008,0.405886590480804
"27","Bolivia",2018,5.91573429107666,8.86053085327148,0.827159464359283,63.5999984741211,0.863246858119965,-0.0875683501362801,0.786044597625732,0.741972625255585,0.387468874454498,0.399588227272034,NA,NA,2.2045419216156,0.372657358646393,0.450113028287888
"28","Bosnia and Herzegovina",2017,5.08990240097046,9.36853122711182,0.775295257568359,67.5,0.563798666000366,0.0924986377358437,0.923343062400818,0.597341656684875,0.270745515823364,0.1263797134161,-0.294609069824219,-0.339562118053436,2.28100657463074,0.448143482208252,0.486203879117966
"29","Bosnia and Herzegovina",2018,5.88740110397339,9.40272617340088,0.835889577865601,67.8000030517578,0.658846437931061,0.124626904726028,0.9128577709198,0.642939507961273,0.277365058660507,0.254097163677216,NA,NA,1.98775029182434,0.337627798318863,0.385817497968674
"30","Botswana",2017,3.50488114356995,9.66823196411133,0.768258631229401,58.2000007629395,0.817308008670807,-0.253493279218674,0.731441497802734,0.656396448612213,0.276252508163452,0.770821094512939,0.706385910511017,0.550655007362366,2.66942548751831,0.761630833148956,0.637864351272583
"31","Botswana",2018,3.46136569976807,9.68022632598877,0.794936001300812,58.9000015258789,0.817621111869812,-0.259084016084671,0.806945443153381,0.729643225669861,0.267083704471588,0.718788146972656,NA,NA,2.63789248466492,0.762095868587494,0.616160452365875
"32","Brazil",2017,6.3329291343689,9.55417442321777,0.904694259166718,66.1999969482422,0.764792561531067,-0.184547558426857,0.794457376003265,0.71594512462616,0.307716906070709,0.16549026966095,0.0237931460142136,-0.304572016000748,2.5305061340332,0.399579107761383,0.39262256026268
"33","Brazil",2018,6.19092178344727,9.55793285369873,0.881505250930786,66.4000015258789,0.750609040260315,-0.126326516270638,0.763251304626465,0.749727845191956,0.349656254053116,0.168186649680138,NA,NA,2.63786721229553,0.426086336374283,0.420397132635117
"34","Bulgaria",2017,5.09690189361572,9.82894229888916,0.941754579544067,66.5999984741211,0.689047038555145,-0.156459167599678,0.910799741744995,0.61421674489975,0.188637346029282,0.326087951660156,0.375986754894257,0.171329617500305,1.85236382484436,0.363429367542267,0.343219518661499
"35","Bulgaria",2018,5.09881353378296,9.87321853637695,0.923853278160095,66.8000030517578,0.724335908889771,-0.17910960316658,0.952014446258545,0.639021873474121,0.189090982079506,0.218995898962021,NA,NA,2.03750658035278,0.399604052305222,0.341206520795822
"36","Burkina Faso",2017,4.64689111709595,7.44020652770996,0.784761369228363,53.4000015258789,0.613774716854095,-0.0548434555530548,0.727451324462891,0.585172474384308,0.353821069002151,0.54065614938736,-0.433187961578369,-0.386786103248596,2.19759202003479,0.472916603088379,0.553144335746765
"37","Burkina Faso",2018,4.92723608016968,7.47052001953125,0.664859473705292,53.9000015258789,0.720743477344513,-0.00438124081119895,0.75739860534668,0.710883557796478,0.342865526676178,0.622255086898804,NA,NA,2.64606976509094,0.537029206752777,0.605102121829987
"38","Burundi",2018,3.77528309822083,6.5410327911377,0.484715223312378,53.4000015258789,0.646398603916168,-0.0193341728299856,0.598607659339905,0.66644150018692,0.362766593694687,NA,NA,NA,2.81576585769653,0.745842278003693,0.68081271648407
"39","Cambodia",2017,4.58584213256836,8.20113086700439,0.765094935894012,61.2000007629395,0.963774681091309,0.0859953239560127,0.821022927761078,0.798616647720337,0.408283829689026,0.752442479133606,-0.493880957365036,-0.87629222869873,2.73265147209167,0.595888674259186,0.545690596103668
