Rank,Name,Global Score,Country,"City, State",Link
190,Florida State University,62.3,United States,"Tallahassee, FL",https://www.usnews.com/education/best-global-universities/florida-state-university-134097
190,Languedoc-Roussillon Universites (ComUE),62.3,France,Montpellier,https://www.usnews.com/education/best-global-universities/languedoc-roussillon-universites-comue-529383
190,Tufts University,62.3,United States,"Medford, MA",https://www.usnews.com/education/best-global-universities/tufts-university-168148
190,Université Libre de Bruxelles,62.3,Belgium,Brussels,https://www.usnews.com/education/best-global-universities/universite-libre-de-bruxelles-505303
195,Sungkyunkwan University,62.2,South Korea,Seoul,https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-500193
196,Maastricht University,62.1,Netherlands,Maastricht,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
196,University of Cincinnati,62.1,United States,"Cincinnati, OH",https://www.usnews.com/education/best-global-universities/university-of-cincinnati-201885
198,University of Ottawa,61.9,Canada,"Ottawa, Ontario",https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
198,University of Technology Sydney,61.9,Australia,"Ultimo, New South Wales",https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
200,Hong Kong Polytechnic University,61.8,Hong Kong,"Kowloon, Hong Kong",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
