Name,Condition,Price,Purchase Option,Shipping Cost
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06C Zaku II Type C Japan version,Brand New,$259.65,Buy It Now,+$34.95 shipping
Bandai Gundam Fix Figuration Metal Composite 1019 MRX-009 Psycho (Gloss Color) ,Brand New,$279.99,Buy It Now,Free Shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE Mobile Suit Victory UC Unicorn Figure,Brand New,$396.00,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite #1002 Psycho Gundam,Pre-Owned,$189.00,Buy It Now,+$10.00 shipping
Bandai Gundam Fix Figuration Metal Composite 1019 MRX-009 Psycho (Gloss Color),Brand New,$238.00,Buy It Now,+$35.00 shipping
Bandai Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C Action Figure,Brand New,$333.50,Buy It Now,Free Shipping
Gundam Fix Figuration Metal Composite GFFMC 1017 RX-78-02 Gundam 40TH Ann. Ver.,Brand New,$269.99,Buy It Now,+$45.76 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S Char Custom Zaku II Japan version,Brand New,$330.80,Buy It Now,+$43.69 shipping
New Bandai GUNDAM FIX FIGURATION METAL COMPOSITE LIMITED Zplus BLUE From Japan,Brand New,$401.99,Buy It Now,+$20.00 shipping
Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C figure in stock,Brand New,$244.95,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE PSYCO GUNDAM (gross color Ver.) 280mm,Brand New,$303.08,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Mk-II Neo Zeon specification,Brand New,$353.51,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX - 0 Unicorn Gundam Unit 2 Banshi Bandai,Brand New,$200.00,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Mk-II Neo Zeon specification,Brand New,$353.51,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-0 Unicorn Gundam Unit 2 Banshii,Brand New,$239.13,Buy It Now,+$13.11 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S Char dedicated Zaku II Pre-order,Brand New,$370.00,Buy It Now,Free Shipping
Bandai METAL COMPOSITE Unicorn Gundam Unit 3 Phenex GUNDAM FIX FIGURATION MS,Brand New,$491.32,Buy It Now,Free Shipping
Bandai Premium Gundam Fix Figuration Metal Composite Psycho Gundam Gloss color,Brand New,$299.00,Buy It Now,Free Shipping
New Bandai GUNDAM FIX FIGURATION METAL COMPOSITE Zplus RED #1005 From Japan,Brand New,$309.99,Buy It Now,+$20.00 shipping
New Bandai Gundam Fix Figuration Metal Composite #1006 Unicorn Gundam PVC,Brand New,$357.99,Buy It Now,+$20.00 shipping
GUNDAM FIX 1020 FIGURATION METAL COMPOSITE MS-06C Zaku II Type C Mobile Suit ,Brand New,$239.99,Buy It Now,+$45.76 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Gloss Color Ver.Bandai,Brand New,$239.80,Buy It Now,+$10.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX78-02 GUNDAM THE ORIGIN Re:PACKAGE,Brand New,$371.76,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 40th Anniversary Ver. FIGURE,Brand New,$327.75,Buy It Now,+$28.00 shipping
READY Bandai GFFMC Fix Figuration Metal Composite Psycho Gundam Gloss Color Ver,Brand New,$239.99,Buy It Now,Free Shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE # 1005 Zplus RED JAPAN J426,Brand New,$281.50,Buy It Now,+$30.00 shipping
GUNDAM FIX METAL COMPOSITE MS-06C ZAKU II type C 180mm die-cast action figure,Brand New,$263.26,Buy It Now,+$13.09 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam Pre-order Japan F/S,Brand New,$370.00,Buy It Now,Free Shipping
BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S CHAR's ZAKU II Figure JAPAN,Brand New,$419.87,Buy It Now,+$10.00 shipping
NEW Bandai Gundam Fix Figuration Metal Composite Rx-0 Banshee JAPAN J69,Brand New,$179.40,Buy It Now,+$30.00 shipping
Bandai Gundam Fix Figuration Metal Composite Zero Premium,Brand New,$749.00,or Best Offer,Free Shipping
Used Banda FIX FIGURATION METAL COMPOSITE #1001 GUNDAM Ver.Ka WITH G-FIGHTER,Pre-Owned,$253.99,Buy It Now,+$20.00 shipping
Used Gundam Fix Figuration Metal Unicorn Awakening Composite from japan F/S,Pre-Owned,$169.90,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE # 1004 RX-78 Ver.Ka Bandai From Japan F/S,Brand New,$255.00,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam (40th Anniversary Ver.),Brand New,$247.16,Buy It Now,+$43.69 shipping
New Bandai Gundam Fix Figuration Metal Composite RX-0 Unic 02 Banshee From Japan,Brand New,$250.99,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE WING GUNDAM ZERO EW Ver Figure BANDAI USED,Pre-Owned,$605.55,Buy It Now,Free Shipping
New BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE #1003 PSYCHO PAINTED Mk-II 2,Brand New,$385.99,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Psyco Gundam (Gloss Color Ver.) Japan ver.,Brand New,$284.61,Buy It Now,+$43.69 shipping
New Bandai O GUNDAM FIX FIGURATION METAL COMPOSITE limited From Japan,Brand New,$658.99,Buy It Now,+$60.00 shipping
(First Ship)GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Snow White Prelude,Brand New,$448.00,Buy It Now,Free Shipping
Used Bandai Origin Fix Figuration Metal Composite #1009 RX78-02 Gundam PVC ABS,Pre-Owned,$244.99,Buy It Now,+$20.00 shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE LIMITED Zplus Blue JAPAN J425,Brand New,$355.50,Buy It Now,+$18.00 shipping
New BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE 1002 PRE-PAINTED,Brand New,$270.99,Buy It Now,Free Shipping
New GUNDAM FIX FIGURATION METAL COMPOSITE LIMITED RX-78/C.A GUNDAM Ver.Ka,Brand New,$355.99,Buy It Now,+$20.00 shipping
Gundam Fix Figuration Metal Composite Psycho Gundam MK-II 1003 Bandai,Pre-Owned,$239.00,Buy It Now,+$10.00 shipping
Bandai GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S Char's Zaku II F/S rare,Brand New,$431.99,Buy It Now,+$20.00 shipping
New Bandai Origin Fix Figuration Metal Composite #1009 RX78-02 Gundam PVC ABS,Brand New,$335.99,Buy It Now,+$20.00 shipping
Bandai Gundam Fix Figuration Metal Composite RX-78-02 GUNDAM (40th Anniversary),Brand New,$279.99,Buy It Now,+$24.00 shipping
READY Bandai Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C GFFMC,Brand New,$269.99,Buy It Now,Free Shipping
Bandai Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C GFFMC Figure,Brand New,$279.99,Buy It Now,Free Shipping
Bandai Tamashii Nations Gundam Fix Figuration Metal Composite Rx-0 Banshee Actio,Brand New,$280.23,Buy It Now,+$30.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX78-02 GUNDAM THE ORIGIN Re:PACKAGE F/S,Brand New,$375.18,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 GUNDAM 40th ANNIVERSARY Ver.,Brand New,$235.00,Buy It Now,+$45.00 shipping
Gundam Fix Figuration Metal Composite RX-78-02 Gundam 40th Ann. APRIL-RELEASE,Brand New,$223.01,Buy It Now,+$29.80 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06C Zaku II Type C Japan version,Brand New,$248.00,Buy It Now,+$35.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Unicorn Gundam (Awakening Specification),Brand New,$236.00,Buy It Now,+$20.00 shipping
Fix Figuration Metal Composite  Unicorn Gundam Unit 3 Fennex About 220 mm ,Brand New,$325.00,Buy It Now,+$20.00 shipping
USED Gundam Fix Figuration Metal Composite #1005 Zplus Red Bandai,Pre-Owned,$301.50,Buy It Now,+$30.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-2 Gundam THE ORIGIN,Brand New,$273.00,Buy It Now,Free Shipping
Bandai Psycho GUNDAM FIX FIGURATION METAL COMPOSITE # 1002 Psycho Gundam,Brand New,$246.00,Buy It Now,+$20.00 shipping
Gundam Fix Figuration Metal Composite Wing Gundam Zero Ew Version Premium Bandai,Pre-Owned,$478.40,or Best Offer,Free Shipping
Gundam Fixed Figuration Metal Composite Mobile Suit The Origin Rx78-02,Pre-Owned,$738.87,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Mk-II Neo Zeon specification,Brand New,$278.00,Buy It Now,+$20.00 shipping
Bandai Gundam Fix Figuration Metal Composite #1002 Psycho Gundam Action Figure,Pre-Owned,$250.00,Buy It Now,Free Shipping
Used Gundam Fix Figuration Metal Composite #1004 RX-78 Ver.Ka Bandai EMS$15,Pre-Owned,$155.56,Buy It Now,+$20.00 shipping
Bandai Gundam Fix Figuration Metal Composite RX-78-02 40th Anniversary Figure,Brand New,$610.93,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam (40th Anniversary Ver.) Ab,Brand New,$252.47,Buy It Now,+$0.49 shipping
FIX FIGURATION METAL COMPOSITE Unicorn Gundam (Final Battlefield Specification) ,Brand New,$293.00,Buy It Now,+$20.00 shipping
Bandai GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 40th Anniversary Ver. rare,Brand New,$334.99,Buy It Now,+$20.00 shipping
New Bandai GUNDAM FIX FIGURATION METAL COMPOSITE Unicorn Gundam  painted,Brand New,$305.99,Buy It Now,Free Shipping
BANDAI METAL COMPOSITE FIX FIGURATION Gundam Wing Zero EW,Pre-Owned,$589.00,or Best Offer,Free Shipping
PSL 5/2 GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Snow White Prelude,Brand New,$580.71,Buy It Now,+$20.00 shipping
