Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,774798208675,1127.33,1115.29,1532.11,1025.0,22.72,1.89,49.61,3.37,3.71,0.17,0.18,0.12,0.74,1.1
"Amazon.com, Inc.",AMZN,964820495300,1938.13,1880.93,2185.95,1626.03,82.55,15.09,23.48,1.1,1.38,0.19,0.16,0.11,0.89,1.19
"Apple, Inc.",AAPL,1087613063600,248.57,244.78,327.85,170.27,19.49,11.84,12.75,1.54,1.36,0.61,0.13,0.09,0.76,1.46
"Facebook, Inc.",FB,450200849907,157.94,153.13,224.2,137.1,24.39,3.65,6.48,4.4,4.13,0.18,0.15,0.11,0.7,1.15
The Walt Disney Co.,DIS,174098579200,96.43,94.93,153.41,79.07,15.33,1.93,6.29,0.75,2.13,0.12,0.11,0.07,0.63,1.22
Archer-Daniels-Midland Co.,ADM,18558111055,33.26,33.46,47.2,31.01,13.54,0.97,2.46,1.55,1.78,0.07,0.11,0.08,0.7,1.07
Bunge Ltd.,BG,4672670760,32.94,32.74,59.65,29.0,-3.53,0.79,-9.34,1.55,1.54,-0.22,0.02,0.02,0.55,1.14
"Caterpillar, Inc.",CAT,56719058130,103.11,103.01,150.55,87.5,9.53,3.88,10.82,1.47,1.23,0.42,0.16,0.11,0.68,1.18
Bank of America Corp.,BAC,184477481550,21.14,21.2,35.72,19.0,7.64,0.7,2.77,0.4,1.12,0.1,0.11,0.08,0.59,1.11
American Express Co.,AXP,63241328865,78.26,77.07,138.13,67.0,9.77,2.7,8.01,1.0,1.13,0.29,0.15,0.1,0.57,1.17
The Boeing Co.,BA,56651111530,100.4,97.71,398.66,89.0,-87.38,-6.4,-1.15,1.05,0.94,0.07,0.17,0.09,0.25,1.13
"Delta Air Lines, Inc.",DAL,14894987380,23.27,21.51,63.44,19.1,3.17,0.9,7.35,0.41,1.31,0.31,0.14,0.08,0.37,1.22
JetBlue Airways Corp.,JBLU,2223751760,7.88,7.6,21.65,6.7,4.08,0.45,1.93,0.67,1.67,0.12,0.06,0.04,0.36,1.18
"Alaska Air Group, Inc.",ALK,3219091470,26.19,24.18,72.22,20.02,4.2,0.69,6.24,0.64,1.45,0.18,0.07,0.05,0.36,1.31
"Tesla, Inc.",TSLA,81205837545,440.4,427.64,968.99,176.99,-88.29,11.91,-4.99,1.13,1.31,-0.13,0.11,0.1,0.45,2.49
The Coca-Cola Co.,KO,179721724000,41.86,41.83,60.13,41.04,20.06,9.46,2.09,0.76,1.32,0.47,0.25,0.17,0.7,1.02
