Name,Symbol,Price,Previous Close,52wk High Price,52wk Low Price,Mkt Cap,P/E,P/B,EPS,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,1114.84,1096.8,1532.11,1025,766214005623,22.47,1.86,49.6087,1.4341251594695863,0.9950465092978255,0.727650103452102,1.0876487804878048
"Amazon.com, Inc.",AMZN,1879.49,1830,2185.95,1626.03,935628916900,80.06,14.68,23.4769,1.6762253335637867,1.2580269379285522,0.859804661588783,1.155876582842875
"Apple, Inc.",AAPL,244.81,246.67,327.85,170.27,1071161258800,19.19,11.93,12.7549,1.2282753236940067,0.9030230671226191,0.7467134360225712,1.4377752980560286
The Walt Disney Co.,DIS,94.92,88.8,153.41,79.07,171372364800,15.09,1.8,6.2917,1.4901681122555719,1.002838734593165,0.618734111205267,1.2004552927785508
Archer-Daniels-Midland Co.,ADM,33.46,33.02,47.2,31.01,18666899020,13.62,0.96,2.4574,0.8628727714656971,0.632107984838955,0.7088983050847457,1.0790067720090293
Bunge Ltd.,BG,32.74,30.25,59.65,29.64,4644299960,-3.51,0.73,-9.337,1.389084431082684,1.1123244379877584,0.5488683989941325,1.1045883940620784
"Caterpillar, Inc.",CAT,103.01,100.12,150.55,87.5,56664049830,9.52,3.78,10.8209,1.2528016794001229,0.8602491418419875,0.684224510129525,1.177257142857143
Bank of America Corp.,BAC,21.2,20.79,35.72,19.58,185044836000,7.66,0.69,2.7678,1.3718271876261516,0.9434046337762049,0.593505039193729,1.0827374872318694
American Express Co.,AXP,77.035,73.75,138.13,67,62247438435,9.62,2.58,8.0072,1.7164212987597507,1.0331848861471924,0.5576992688047492,1.149776119402985
The Boeing Co.,BA,97.71,101.89,398.66,89,55130522460,-85.03,-6.67,-1.1491,2.9039740489053685,1.440524835591576,0.2450960718406662,1.0978651685393257
"Delta Air Lines, Inc.",DAL,21.51,23.49,63.44,19.1,13768421940,2.93,0.98,7.3461,2.437862017608681,1.3502507204179945,0.33906052963430017,1.1261780104712042
"Alaska Air Group, Inc.",ALK,24.18,25.13,72.22,20.02,2972036340,3.88,0.71,6.2373,1.1624628478083923,0.7135256445649631,0.3348103018554417,1.2077922077922079
JetBlue Airways Corp.,JBLU,7.615,7.66,21.65,7.01,2148968230,3.94,0.45,1.933,1.1417940108605273,0.6605577336425604,0.3517321016166282,1.0863052781740372
"Tesla, Inc.",TSLA,427.51,361.22,968.99,176.99,78828141390,-85.71,10.06,-4.9881,1.455977480881629,1.638642014557194,0.44119134356391704,2.4154472004068026
