Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,757726022622,1102.49,1134.46,1532.11,1013.54,22.22,1.87,49.61,3.37,3.71,0.17,1.49,1.04,0.72,1.09
"Amazon.com, Inc.",AMZN,938790010400,1885.84,1940.1,2185.95,1626.03,80.33,15.13,23.48,1.1,1.38,0.19,0.97,0.71,0.86,1.16
"Apple, Inc.",AAPL,1074267849600,245.52,246.88,327.85,170.27,19.25,11.87,12.75,1.54,1.36,0.61,1.19,0.91,0.75,1.44
"Facebook, Inc.",FB,445269562897,156.21,160.98,224.2,137.1,24.12,3.72,6.48,4.4,4.13,0.18,1.38,0.98,0.7,1.14
The Walt Disney Co.,DIS,181861971200,100.73,98.12,153.41,79.07,16.01,2.05,6.29,0.75,2.13,0.12,1.2,0.83,0.66,1.27
Archer-Daniels-Midland Co.,ADM,18242904900,32.7,32.32,47.2,28.92,13.31,0.95,2.46,1.55,1.78,0.07,0.9,0.77,0.69,1.13
Bunge Ltd.,BG,5196112020,36.63,35.0,59.65,29.0,-3.92,0.88,-9.34,1.55,1.54,-0.22,1.17,0.93,0.61,1.26
"Caterpillar, Inc.",CAT,57577187610,104.67,101.34,150.55,87.5,9.67,3.95,10.82,1.47,1.23,0.42,1.09,0.84,0.7,1.2
"Visa, Inc.",V,317493663671,161.78,154.53,214.17,133.93,29.48,7.96,5.49,1.56,1.92,0.34,1.26,0.9,0.76,1.21
Bank of America Corp.,BAC,184171983000,21.1,21.03,35.72,17.95,7.62,0.7,2.77,0.4,1.12,0.1,1.36,1.04,0.59,1.18
American Express Co.,AXP,72861056970,90.17,84.05,138.13,67.0,11.26,3.16,8.01,1.0,1.13,0.29,1.3,0.92,0.65,1.35
The Boeing Co.,BA,89559592980,158.73,127.68,398.66,89.0,-138.13,-10.39,-1.15,1.05,0.94,0.07,3.7,1.73,0.4,1.78
"Delta Air Lines, Inc.",DAL,19906923400,31.1,26.89,63.44,19.1,4.23,1.3,7.35,0.41,1.31,0.31,2.64,1.46,0.49,1.63
"American Airlines Group, Inc.",AAL,6557048010,15.39,13.92,35.24,10.01,4.03,-55.57,3.81,0.45,1.0,-14.29,2.2,1.3,0.44,1.54
JetBlue Airways Corp.,JBLU,3200170680,11.34,9.4,21.65,6.61,5.87,0.67,1.93,0.67,1.67,0.12,2.07,1.41,0.52,1.72
"Alaska Air Group, Inc.",ALK,3667723920,29.84,28.91,72.22,20.02,4.78,0.85,6.24,0.64,1.45,0.18,2.52,1.71,0.41,1.49
"Tesla, Inc.",TSLA,99431768250,539.25,505.0,968.99,176.99,-108.11,15.02,-4.99,1.13,1.31,-0.13,1.09,0.92,0.56,3.05
The Coca-Cola Co.,KO,178648374000,41.61,39.45,60.13,36.27,19.94,9.41,2.09,0.76,1.32,0.47,1.69,1.08,0.69,1.15
