Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
Carnival Corp.,CCL,4479824910,8.49,7.97,56.04,7.8,0.18,3.13,13.57,1.89,2.71,0.23,2.29,0.12,0.07,2.03,1.14,0.01,0.11
Royal Caribbean Cruises Ltd.,RCL,5097510000,24.39,24.82,135.32,19.25,0.42,2.72,14.18,2.02,8.97,0.15,1.72,0.15,0.06,1.27,0.94,0.04,0.06
Lockheed Martin Corp.,LMT,98794734000,350.5,353.96,442.53,266.11,31.59,15.87,20.17,12.13,22.09,1.22,1.07,1.99,0.13,0.83,0.83,0.48,0.47
The Boeing Co.,BA,70257421520,124.52,123.27,398.66,89.0,-8.15,-108.36,-112.62,-25.14,-1.15,1.05,0.94,0.07,-0.0,1.22,0.77,0.11,0.95
Southwest Airlines Co.,LUV,15798219840,30.54,31.5,58.83,29.15,1.61,7.13,13.75,6.81,4.28,0.67,1.57,0.23,0.09,0.9,0.99,0.05,0.05
"Delta Air Lines, Inc.",DAL,14389313120,22.48,22.68,63.44,19.1,0.94,3.06,8.65,2.61,7.35,0.41,1.31,0.31,0.07,1.3,0.97,0.08,0.08
"American Airlines Group, Inc.",AAL,4000694010,9.39,10.06,35.24,9.09,-33.9,2.46,7.18,2.04,3.81,0.45,1.0,-14.29,0.03,1.55,1.24,0.01,0.08
"United Airlines Holdings, Inc.",UAL,5675598390,22.89,23.42,96.03,17.8,0.49,1.96,7.94,1.47,11.67,0.55,1.26,0.26,0.05,1.4,1.1,0.07,0.08
JetBlue Airways Corp.,JBLU,2017408360,7.48,7.63,21.65,6.61,0.42,3.87,11.34,3.46,1.93,0.67,1.67,0.12,0.05,0.55,0.55,0.06,0.05
"Alaska Air Group, Inc.",ALK,3026623650,24.69,24.66,72.22,20.02,0.7,3.96,11.23,3.11,6.24,0.64,1.45,0.18,0.05,0.75,0.69,0.09,0.1
Archer-Daniels-Midland Co.,ADM,19307257200,34.65,34.33,47.2,28.92,1.01,14.1,17.88,10.95,2.46,1.55,1.78,0.07,0.03,0.57,0.7,0.31,0.45
Bunge Ltd.,BG,5272713180,37.17,39.08,59.65,29.0,0.89,-3.98,13.08,6.36,-9.34,1.55,1.54,-0.22,-0.07,0.68,0.7,0.27,-1.54
"Caterpillar, Inc.",CAT,63078017610,114.67,116.74,150.55,87.5,4.32,10.6,13.61,7.91,10.82,1.47,1.23,0.42,0.08,0.73,0.75,0.43,0.47
"Visa, Inc.",V,298006013280,151.85,157.39,214.17,133.93,7.47,27.67,38.18,23.87,5.49,1.56,1.92,0.34,0.16,0.66,0.66,0.22,0.27
Bank of America Corp.,BAC,174832455900,20.03,20.57,35.72,17.95,0.66,7.24,13.04,6.55,2.77,0.4,1.12,0.1,0.01,0.57,0.63,0.12,0.11
American Express Co.,AXP,59305260800,73.6,76.23,138.13,67.0,2.57,9.19,17.31,8.4,8.01,1.0,1.13,0.29,0.03,1.03,1.17,0.09,0.09
JPMorgan Chase & Co.,JPM,258368019000,84.05,86.61,141.1,76.91,0.99,7.82,13.16,7.17,10.75,0.56,1.11,0.14,0.01,0.68,0.75,0.11,0.11
"The Goldman Sachs Group, Inc.",GS,50789733890,146.93,149.93,250.46,130.85,0.56,6.92,11.93,6.23,21.22,1.07,1.1,0.09,0.01,0.49,0.55,0.13,0.12
"Apple, Inc.",AAPL,1056284626800,241.41,244.93,327.85,170.27,11.67,18.93,25.9,13.45,12.75,1.54,1.36,0.61,0.16,0.48,0.58,0.45,0.44
"Amazon.com, Inc.",AMZN,949207271040,1906.59,1918.83,2185.95,1626.03,15.29,81.21,95.0,70.67,23.48,1.1,1.38,0.19,0.05,0.51,0.64,0.5,0.43
"Alphabet, Inc.",GOOG,754557633825,1097.88,1120.84,1532.11,1013.54,1.86,22.13,31.15,20.61,49.61,3.37,3.71,0.17,0.12,0.75,0.77,0.16,0.14
"Facebook, Inc.",FB,439483139411,154.18,158.19,224.2,137.1,3.67,23.8,34.81,21.29,6.48,4.4,4.13,0.18,0.14,0.94,1.0,0.2,0.19
