Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
Archer-Daniels-Midland Co.,ADM,22036526320,39.67,38.89,47.2,28.92,1.13,14.48,16.74,10.26,2.74,1.55,0.56,0.07,0.03,1.0,1.05,0.59,0.65
Bunge Ltd.,BG,5667560370,39.87,39.22,59.65,29.0,0.94,-3.61,20.86,10.14,-11.06,1.55,0.65,-0.22,-0.07,1.02,0.92,0.35,-1.28
"Caterpillar, Inc.",CAT,66745593480,123.32,120.5,150.55,87.5,4.56,12.94,15.49,9.0,9.53,1.47,0.81,0.42,0.08,0.71,0.81,0.57,0.61
"Visa, Inc.",V,381624728861,196.36,194.35,214.17,133.93,9.56,35.28,37.64,23.54,5.57,1.56,0.52,0.34,0.16,0.88,0.98,0.78,0.83
Bank of America Corp.,BAC,215502152400,24.84,24.61,35.72,17.95,0.83,10.08,14.64,7.36,2.46,1.02,0.89,0.1,0.01,1.03,0.88,0.39,0.37
American Express Co.,AXP,79748576040,99.07,96.75,138.13,67.0,3.47,14.98,20.96,10.17,6.61,1.0,0.88,0.29,0.03,0.82,0.81,0.45,0.45
JPMorgan Chase & Co.,JPM,301441688600,98.93,98.6,141.1,76.91,1.17,11.14,15.94,8.69,8.88,0.56,0.9,0.14,0.01,0.92,0.86,0.34,0.34
"The Goldman Sachs Group, Inc.",GS,70201092180,204.14,199.93,250.46,130.85,0.77,10.97,13.61,7.11,18.61,1.38,0.91,0.09,0.01,1.27,1.07,0.61,0.59
"Apple, Inc.",AAPL,1401465495600,323.34,321.85,327.85,170.27,15.42,25.14,25.71,13.35,12.86,1.54,0.73,0.61,0.16,0.64,0.77,0.97,0.95
"Amazon.com, Inc.",AMZN,1233178770160,2472.41,2471.04,2525.45,1626.03,19.85,116.0,120.66,77.69,21.31,1.1,0.72,0.19,0.05,0.55,0.65,0.94,0.89
"Alphabet, Inc.",GOOG,982439623837,1439.22,1431.82,1532.11,1013.54,2.38,28.79,30.92,20.45,49.99,3.37,0.27,0.17,0.12,0.72,0.8,0.82,0.8
"Facebook, Inc.",FB,663042887117,232.72,231.91,240.9,137.1,5.43,31.68,33.0,18.78,7.35,4.4,0.24,0.18,0.14,0.79,0.65,0.92,0.91
Microsoft Corp.,MSFT,1402253890400,184.91,182.83,190.7,119.01,13.56,30.5,33.69,21.03,6.06,2.53,0.64,0.38,0.14,0.86,0.97,0.92,0.75
"Tesla, Inc.",TSLA,163508222560,881.56,898.1,968.99,176.99,25.26,-1047.23,235.19,42.96,-0.84,1.13,0.76,-0.13,-0.03,0.92,1.3,0.89,-5.67
The Walt Disney Co.,DIS,214494562500,118.75,118.77,153.41,79.07,2.41,39.81,33.72,17.38,2.98,0.75,0.47,0.12,0.06,0.53,0.55,0.53,1.37
"Gilead Sciences, Inc.",GILD,91868040000,73.26,75.16,85.97,60.89,4.11,18.69,13.13,9.3,3.92,3.1,0.63,0.24,0.09,0.85,1.29,0.49,2.45
3M Co.,MMM,90673897440,157.64,155.58,187.72,114.04,9.01,18.29,21.12,12.83,8.62,1.41,0.77,0.45,0.1,0.57,0.5,0.59,0.66
The Coca-Cola Co.,KO,201430341000,46.9,46.99,60.13,36.27,10.63,20.04,28.1,16.95,2.34,0.76,0.76,0.47,0.1,0.81,0.7,0.45,0.28
"NIKE, Inc.",NKE,156652714800,100.74,99.54,105.62,60.0,13.65,36.45,38.97,22.14,2.76,2.1,0.62,0.45,0.17,1.61,1.54,0.89,0.85
"Under Armour, Inc.",UAA,4273015130,9.41,9.26,27.72,7.15,0.84,-8.2,-554.4,-143.0,-1.15,1.9,0.56,0.04,0.02,0.88,0.67,0.11,-0.33
