Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
Carnival Corp.,CCL,8901607330,16.87,16.8,53.86,7.8,0.36,6.22,13.04,1.89,2.71,0.23,0.44,0.12,0.07,0.74,0.75,0.2,0.39
Royal Caribbean Cruises Ltd.,RCL,11725560000,56.0,55.64,135.32,19.25,0.98,64.48,20.05,2.85,0.87,0.15,0.58,0.15,0.06,0.91,0.78,0.32,3.58
Lockheed Martin Corp.,LMT,109305149950,389.77,388.96,442.53,266.11,34.9,17.59,20.09,12.08,22.16,1.22,0.93,1.99,0.13,1.01,0.96,0.7,0.69
The Boeing Co.,BA,86516665750,153.31,151.39,391.0,89.0,-10.12,-25.34,-46.55,-10.6,-6.05,1.05,1.06,0.07,-0.0,0.78,0.76,0.21,0.41
Southwest Airlines Co.,LUV,20322029280,34.48,33.62,58.83,22.47,2.08,10.14,17.15,6.55,3.4,0.67,0.64,0.23,0.09,0.78,0.81,0.33,0.34
"Delta Air Lines, Inc.",DAL,16844984660,26.41,26.17,63.44,17.51,1.1,4.88,10.83,2.99,5.41,0.41,0.76,0.31,0.07,0.75,0.72,0.19,0.24
"American Airlines Group, Inc.",AAL,4744881900,11.22,11.11,34.99,8.25,-40.91,-6.03,20.11,4.74,-1.86,0.45,1.0,-14.29,0.03,0.69,0.76,0.11,-0.7
"United Airlines Holdings, Inc.",UAL,8686821120,29.91,29.46,96.03,17.8,0.76,8.03,11.46,2.12,3.72,0.55,0.8,0.26,0.05,0.87,0.71,0.15,0.63
JetBlue Airways Corp.,JBLU,2780679170,10.31,10.2,21.65,6.61,0.57,12.44,16.28,4.97,0.83,0.67,0.6,0.12,0.05,1.05,0.99,0.25,0.66
"Alaska Air Group, Inc.",ALK,4437577000,36.2,36.11,72.22,20.02,1.02,8.39,13.28,3.68,4.32,0.64,0.69,0.18,0.05,1.08,0.96,0.31,0.49
