Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,766523284356,1115.29,1096.8,1532.11,1025.0,22.48,1.89,49.61,3.37,3.71,0.17,1.51,1.04,0.73,1.09
"Amazon.com, Inc.",AMZN,936345763300,1880.93,1830.0,2185.95,1626.03,80.12,15.09,23.48,1.1,1.38,0.19,1.67,1.21,0.86,1.16
"Apple, Inc.",AAPL,1071029994400,244.78,246.67,327.85,170.27,19.19,11.84,12.75,1.54,1.36,0.61,1.21,0.89,0.75,1.44
"Facebook, Inc.",FB,436490161746,153.13,146.96,224.2,137.1,23.64,3.65,6.48,4.4,4.13,0.18,1.72,1.21,0.68,1.12
The Walt Disney Co.,DIS,171390419200,94.93,88.8,153.41,79.07,15.09,1.93,6.29,0.75,2.13,0.12,1.49,0.98,0.62,1.2
Archer-Daniels-Midland Co.,ADM,18666899020,33.46,33.02,47.2,31.01,13.62,0.97,2.46,1.55,1.78,0.07,0.87,0.64,0.71,1.08
Bunge Ltd.,BG,4644299960,32.74,30.25,59.65,29.0,-3.51,0.79,-9.34,1.55,1.54,-0.22,1.35,1.05,0.55,1.13
"Caterpillar, Inc.",CAT,56664049830,103.01,100.12,150.55,87.5,9.52,3.88,10.82,1.47,1.23,0.42,1.26,0.87,0.68,1.18
Bank of America Corp.,BAC,185044836000,21.2,20.79,35.72,19.0,7.66,0.7,2.77,0.4,1.12,0.1,1.34,0.94,0.59,1.12
American Express Co.,AXP,62275719870,77.07,73.75,138.13,67.0,9.63,2.7,8.01,1.0,1.13,0.29,1.67,1.04,0.56,1.15
The Boeing Co.,BA,55130522460,97.71,101.89,398.66,89.0,-85.03,-6.4,-1.15,1.05,0.94,0.07,2.69,1.32,0.25,1.1
"Delta Air Lines, Inc.",DAL,13768421940,21.51,23.49,63.44,19.1,2.93,0.9,7.35,0.41,1.31,0.31,2.28,1.27,0.34,1.13
"Alaska Air Group, Inc.",ALK,2972036340,24.18,25.13,72.22,20.02,3.88,0.69,6.24,0.64,1.45,0.18,1.14,0.73,0.33,1.21
JetBlue Airways Corp.,JBLU,2144735200,7.6,7.66,21.65,6.7,3.93,0.45,1.93,0.67,1.67,0.12,1.12,0.67,0.35,1.13
"Tesla, Inc.",TSLA,78852111960,427.64,361.22,968.99,176.99,-85.73,11.91,-4.99,1.13,1.31,-0.13,1.53,1.51,0.44,2.42
