Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,769643563128,1119.83,1115.29,1532.11,1025.0,22.57,1.89,49.61,3.37,3.71,0.17,0.47,0.32,0.73,1.09
"Amazon.com, Inc.",AMZN,947775480900,1903.89,1880.93,2185.95,1626.03,81.1,15.54,23.48,1.1,1.38,0.19,0.57,0.41,0.87,1.17
"Apple, Inc.",AAPL,1095357663200,250.34,244.78,327.85,170.27,19.63,12.05,12.75,1.54,1.36,0.61,0.45,0.33,0.76,1.47
"Facebook, Inc.",FB,447264881340,156.91,153.13,224.2,137.1,24.23,3.67,6.48,4.4,4.13,0.18,0.49,0.34,0.7,1.14
The Walt Disney Co.,DIS,167210825600,92.62,94.93,153.41,79.07,14.72,1.92,6.29,0.75,2.13,0.12,0.43,0.28,0.6,1.17
Archer-Daniels-Midland Co.,ADM,18198273940,32.62,33.46,47.2,31.01,13.27,0.95,2.46,1.55,1.78,0.07,0.32,0.24,0.69,1.05
Bunge Ltd.,BG,4858499500,34.25,32.74,59.65,29.0,-3.67,0.79,-9.34,1.55,1.54,-0.22,0.23,0.18,0.57,1.18
"Caterpillar, Inc.",CAT,55211830710,100.37,103.01,150.55,87.5,9.28,3.79,10.82,1.47,1.23,0.42,0.42,0.29,0.67,1.15
Bank of America Corp.,BAC,184171983000,21.1,21.2,35.72,19.0,7.62,0.67,2.77,0.4,1.12,0.1,0.49,0.34,0.59,1.11
American Express Co.,AXP,66065432160,81.76,77.07,138.13,67.0,10.21,2.7,8.01,1.0,1.13,0.29,0.56,0.35,0.59,1.22
The Boeing Co.,BA,57912156640,102.64,97.71,398.66,89.0,-89.32,-6.31,-1.15,1.05,0.94,0.07,1.21,0.6,0.26,1.15
"Delta Air Lines, Inc.",DAL,16213581020,25.33,21.51,63.44,19.1,3.45,0.94,7.35,0.41,1.31,0.31,1.19,0.66,0.4,1.33
JetBlue Airways Corp.,JBLU,2354975690,8.35,7.6,21.65,6.7,4.32,0.47,1.93,0.67,1.67,0.12,0.39,0.23,0.39,1.25
"Alaska Air Group, Inc.",ALK,3286693620,26.74,24.18,72.22,20.02,4.29,0.69,6.24,0.64,1.45,0.18,0.46,0.29,0.37,1.34
"Tesla, Inc.",TSLA,85451394270,463.43,427.64,968.99,176.99,-92.91,12.07,-4.99,1.13,1.31,-0.13,0.68,0.67,0.48,2.62
The Coca-Cola Co.,KO,176845146000,41.19,41.83,60.13,41.04,19.74,9.3,2.09,0.76,1.32,0.47,0.78,0.51,0.69,1.0
