Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/E,P/B,EPS,Current Ratio,Debt Ratio,ROE,Vol/30 Avg Vol,Vol/10 Avg Vol,P/H,P/L
"Alphabet, Inc.",GOOG,798454595308,1161.75,1102.49,1532.11,1013.54,23.42,1.97,49.61,3.37,3.71,0.17,1.27,0.93,0.76,1.15
"Amazon.com, Inc.",AMZN,973462476900,1955.49,1885.84,2185.95,1626.03,83.29,15.69,23.48,1.1,1.38,0.19,0.92,0.72,0.89,1.2
"Apple, Inc.",AAPL,1130799051200,258.44,245.52,327.85,170.27,20.26,12.5,12.75,1.54,1.36,0.61,0.97,0.79,0.79,1.52
"Facebook, Inc.",FB,465593306469,163.34,156.21,224.2,137.1,25.22,3.89,6.48,4.4,4.13,0.18,1.03,0.78,0.73,1.19
The Walt Disney Co.,DIS,190221158400,105.36,100.73,153.41,79.07,16.75,2.14,6.29,0.75,2.13,0.12,1.01,0.75,0.69,1.33
Archer-Daniels-Midland Co.,ADM,19224786020,34.46,32.7,47.2,28.92,14.02,1.0,2.46,1.55,1.78,0.07,0.81,0.76,0.73,1.19
Bunge Ltd.,BG,5339384560,37.64,36.63,59.65,29.0,-4.03,0.9,-9.34,1.55,1.54,-0.22,0.9,0.76,0.63,1.3
"Caterpillar, Inc.",CAT,60784171500,110.5,104.67,150.55,87.5,10.21,4.17,10.82,1.47,1.23,0.42,0.99,0.82,0.73,1.26
"Visa, Inc.",V,331427431826,168.88,161.78,214.17,133.93,30.77,8.31,5.49,1.56,1.92,0.34,1.02,0.78,0.79,1.26
Bank of America Corp.,BAC,198312201600,22.72,21.1,35.72,17.95,8.21,0.75,2.77,0.4,1.12,0.1,1.04,0.83,0.64,1.27
American Express Co.,AXP,75171029620,93.29,90.17,138.13,67.0,11.65,3.26,8.01,1.0,1.13,0.29,1.07,0.8,0.68,1.39
The Boeing Co.,BA,101871004300,180.55,158.73,398.66,89.0,-157.12,-11.82,-1.15,1.05,0.94,0.07,2.76,1.32,0.45,2.03
"Delta Air Lines, Inc.",DAL,20290979800,31.7,31.1,63.44,19.1,4.32,1.32,7.35,0.41,1.31,0.31,2.02,1.14,0.5,1.66
"American Airlines Group, Inc.",AAL,6672083940,15.66,15.39,35.24,10.01,4.11,-56.54,3.81,0.45,1.0,-14.29,1.73,1.04,0.44,1.56
JetBlue Airways Corp.,JBLU,3084467860,10.93,11.34,21.65,6.61,5.65,0.64,1.93,0.67,1.67,0.12,1.39,0.97,0.5,1.65
"Alaska Air Group, Inc.",ALK,3993443370,32.49,29.84,72.22,20.02,5.21,0.92,6.24,0.64,1.45,0.18,1.54,1.09,0.45,1.62
"Tesla, Inc.",TSLA,97386894240,528.16,539.25,968.99,176.99,-105.88,14.72,-4.99,1.13,1.31,-0.13,0.89,0.76,0.55,2.98
The Coca-Cola Co.,KO,190154686000,44.29,41.61,60.13,36.27,21.23,10.02,2.09,0.76,1.32,0.47,1.45,0.95,0.74,1.22
