Date,Time,Open,High,Low,Close,Volume
03/03/2014,09:31,38.26,38.2601,38.26,38.26,1058
03/03/2014,09:43,38.34,38.34,38.34,38.34,100
03/03/2014,09:47,38.315,38.315,38.315,38.315,8
03/03/2014,09:50,38.36,38.36,38.36,38.36,198
03/03/2014,09:56,38.3,38.3,38.3,38.3,600
03/03/2014,10:00,38.34,38.36,38.34,38.36,1000
03/03/2014,10:02,38.46,38.46,38.46,38.46,100
03/03/2014,10:13,38.21,38.21,38.21,38.21,40
03/03/2014,10:24,38.38,38.38,38.38,38.38,100
03/03/2014,10:34,38.49,38.49,38.49,38.49,200
03/03/2014,10:44,38.46,38.46,38.46,38.46,100
03/03/2014,10:45,38.21,38.43,38.21,38.43,612
03/03/2014,10:47,38.21,38.21,38.21,38.21,11
03/03/2014,10:48,38.42,38.42,38.42,38.42,23
03/03/2014,10:57,38.48,38.48,38.48,38.48,200
03/03/2014,10:59,38.44,38.44,38.44,38.44,100
03/03/2014,11:09,38.23,38.23,38.21,38.21,322
03/03/2014,11:10,38.3262,38.3262,38.3262,38.3262,23
03/03/2014,11:11,38.4196,38.4196,38.4196,38.4196,203
03/03/2014,11:14,38.4,38.4,38.4,38.4,100
03/03/2014,11:16,38.4,38.4,38.4,38.4,2
03/03/2014,11:23,38.4715,38.4715,38.4715,38.4715,200
03/03/2014,11:29,38.47,38.47,38.47,38.47,100
03/03/2014,11:36,38.235,38.235,38.235,38.235,100
03/03/2014,11:39,38.46,38.46,38.46,38.46,100
03/03/2014,11:47,38.25,38.25,38.25,38.25,1
03/03/2014,11:54,38.45,38.45,38.45,38.45,100
03/03/2014,11:59,38.2301,38.2301,38.2301,38.2301,2
03/03/2014,12:09,38.46,38.46,38.46,38.46,300
03/03/2014,12:17,38.24,38.24,38.24,38.24,193
03/03/2014,12:44,38.48,38.48,38.46,38.46,300
03/03/2014,13:12,38.4,38.4,38.4,38.4,100
03/03/2014,13:13,38.45,38.45,38.45,38.45,100
03/03/2014,13:14,38.4,38.41,38.4,38.41,200
03/03/2014,13:18,38.45,38.46,38.45,38.46,160
03/03/2014,13:31,38.445,38.46,38.2001,38.45,3436
03/03/2014,13:32,38.45,38.45,38.45,38.45,100
03/03/2014,13:34,38.45,38.45,38.45,38.45,8
03/03/2014,13:39,38.44,38.44,38.44,38.44,9
03/03/2014,13:43,38.46,38.46,38.46,38.46,100
03/03/2014,13:47,38.21,38.44,38.21,38.44,1026
03/03/2014,13:50,38.44,38.44,38.44,38.44,100
03/03/2014,13:57,38.46,38.5,38.46,38.5,1236
03/03/2014,14:07,38.68,38.68,38.68,38.68,100
03/03/2014,14:08,38.5944,38.5944,38.5944,38.5944,2
03/03/2014,14:09,38.69,38.69,38.69,38.69,100
03/03/2014,14:13,38.44,38.44,38.44,38.44,100
03/03/2014,14:34,38.66,38.66,38.66,38.66,100
03/03/2014,14:39,38.6,38.6,38.6,38.6,100
03/03/2014,14:41,38.6032,38.6032,38.6032,38.6032,138
