Date,Time,Open,High,Low,Close,Volume
03/03/2014,14:42,38.76,38.76,38.76,38.76,3
03/03/2014,14:46,38.4432,38.4432,38.4432,38.4432,300
03/03/2014,14:54,38.76,38.76,38.76,38.76,100
03/03/2014,14:55,38.78,38.78,38.78,38.78,100
03/03/2014,15:04,38.78,38.78,38.78,38.78,100
03/03/2014,15:13,38.78,38.78,38.78,38.78,100
03/03/2014,15:19,38.78,38.78,38.78,38.78,100
03/03/2014,15:26,38.78,38.78,38.71,38.71,103
03/03/2014,15:27,38.78,38.78,38.78,38.78,3
03/03/2014,15:29,38.79,38.79,38.79,38.79,100
03/03/2014,15:37,38.4732,38.4732,38.4732,38.4732,275
03/03/2014,15:39,38.79,38.79,38.79,38.79,100
03/03/2014,15:42,38.79,38.79,38.79,38.79,100
03/03/2014,15:43,38.4701,38.4701,38.4701,38.4701,200
03/03/2014,15:44,38.74,38.74,38.74,38.74,100
03/03/2014,15:45,38.78,38.78,38.4929,38.4929,200
03/03/2014,15:47,38.77,38.77,38.5332,38.5332,201
03/03/2014,15:53,38.75,38.75,38.75,38.75,102
03/03/2014,15:54,38.75,38.75,38.59,38.606,300
03/03/2014,15:55,38.5901,38.75,38.5901,38.75,509
03/03/2014,15:57,38.75,38.75,38.7428,38.7428,164
03/03/2014,15:59,38.67,38.67,38.42,38.6,644
03/03/2014,16:00,38.79,38.84,38.49,38.69,643
03/04/2014,09:31,38.8,38.8,38.8,38.8,332
03/04/2014,09:45,38.805,38.805,38.805,38.805,68
03/04/2014,09:49,38.91,38.91,38.91,38.91,6
03/04/2014,09:55,38.89,38.89,38.89,38.89,100
03/04/2014,09:57,38.87,38.87,38.87,38.87,74
03/04/2014,10:25,38.7,38.7,38.6901,38.7,462
03/04/2014,10:33,38.7,38.79,38.7,38.79,800
03/04/2014,10:38,38.7,38.7,38.7,38.7,133
03/04/2014,10:41,38.7915,38.7915,38.7915,38.7915,100
03/04/2014,10:46,38.7915,38.7915,38.7915,38.7915,100
03/04/2014,10:51,38.799,38.799,38.799,38.799,300
03/04/2014,11:05,38.6901,38.6901,38.6901,38.6901,170
03/04/2014,11:12,38.78,38.79,38.78,38.79,100
03/04/2014,11:14,38.8,38.8,38.8,38.8,9
03/04/2014,11:16,38.79,38.79,38.79,38.79,25
03/04/2014,11:19,38.8,38.8,38.8,38.8,2
03/04/2014,11:21,38.7511,38.7511,38.7511,38.7511,1
03/04/2014,12:13,38.75,38.755,38.7,38.7,500
03/04/2014,12:16,38.69,38.8,38.69,38.8,533
03/04/2014,12:22,38.47,38.47,38.47,38.47,1
03/04/2014,12:25,38.7,38.7,38.55,38.55,300
03/04/2014,12:27,38.6154,38.6154,38.6154,38.6154,460
03/04/2014,12:36,39.0996,39.0996,38.79,39.0,300
03/04/2014,12:45,38.45,38.45,38.45,38.45,360
03/04/2014,12:49,38.7999,38.7999,38.7999,38.7999,24
03/04/2014,12:53,38.8,39.1,38.8,39.1,97
03/04/2014,12:55,38.8,38.8,38.61,38.61,192
03/04/2014,12:58,38.61,38.611,38.01,38.01,3808
03/04/2014,13:14,38.091,38.091,38.091,38.091,100
03/04/2014,13:31,38.161,38.161,38.161,38.161,100
03/04/2014,13:33,38.5599,38.5599,38.5599,38.5599,700
03/04/2014,13:40,38.56,38.56,38.56,38.56,100
03/04/2014,13:45,38.56,38.56,38.56,38.56,2
03/04/2014,13:49,38.121,38.121,38.121,38.121,100
03/04/2014,13:50,38.3762,38.3762,38.3762,38.3762,125
03/04/2014,14:07,38.161,38.161,38.161,38.161,100
03/04/2014,14:13,38.51,38.51,38.51,38.51,14
03/04/2014,14:14,38.335,38.335,38.335,38.335,1
03/04/2014,14:20,38.51,38.51,38.51,38.51,100
03/04/2014,14:24,38.261,38.261,38.261,38.261,100
03/04/2014,14:31,38.12,38.12,38.12,38.12,100
03/04/2014,14:33,38.15,38.15,38.1401,38.1401,1000
03/04/2014,14:34,38.3287,38.3287,38.3287,38.3287,100
03/04/2014,14:40,38.171,38.171,38.171,38.171,100
03/04/2014,14:44,38.2,38.2,38.2,38.2,100
03/04/2014,14:49,38.49,38.49,38.49,38.49,100
03/04/2014,14:53,38.15,38.15,38.15,38.15,100
03/04/2014,14:56,38.181,38.181,38.181,38.181,100
03/04/2014,14:59,38.18,38.18,38.18,38.18,100
03/04/2014,15:02,38.29,38.29,38.29,38.29,200
03/04/2014,15:05,38.3499,38.3499,38.265,38.3,300
03/04/2014,15:13,38.2,38.34,38.2,38.34,200
03/04/2014,15:28,38.18,38.18,38.18,38.18,100
03/04/2014,15:33,38.26,38.26,38.26,38.26,100
03/04/2014,15:35,38.25,38.25,38.25,38.25,1
03/04/2014,15:36,38.25,38.25,38.25,38.25,1
03/04/2014,15:37,38.21,38.21,38.071,38.2,1803
03/04/2014,15:40,38.12,38.12,38.06,38.06,100
03/04/2014,15:46,38.06,38.15,38.05,38.07,876
03/04/2014,15:48,38.03,38.04,38.03,38.04,100
03/04/2014,15:50,38.03,38.03,38.03,38.03,200
03/04/2014,15:51,38.04,38.04,38.04,38.04,4
03/04/2014,15:52,38.04,38.04,38.04,38.04,101
03/04/2014,15:54,38.04,38.04,38.03,38.03,97
03/04/2014,15:55,38.04,38.04,38.04,38.04,302
03/04/2014,15:56,38.03,38.03,38.01,38.01,300
03/04/2014,15:58,38.03,38.03,38.03,38.03,100
03/04/2014,15:59,38.02,38.04,38.02,38.04,800
03/04/2014,16:00,38.02,38.03,38.02,38.03,900
03/04/2014,16:05,37.86,37.86,37.86,37.86,9889
03/05/2014,07:40,37.73,37.73,37.73,37.73,300
03/05/2014,08:17,37.67,37.67,37.67,37.67,50
03/05/2014,09:31,37.85,37.85,37.85,37.85,200
03/05/2014,09:32,37.1,37.345,37.0,37.0,7703
03/05/2014,09:34,37.025,37.025,37.025,37.025,100
03/05/2014,09:35,37.0001,37.08,37.0001,37.08,106
03/05/2014,09:39,37.0301,37.0301,37.0301,37.0301,55
03/05/2014,09:41,37.05,37.2501,37.03,37.2501,1000
03/05/2014,09:52,37.2,37.2,37.2,37.2,100
03/05/2014,09:54,37.11,37.11,37.1,37.1,256
03/05/2014,09:55,37.28,37.28,37.28,37.28,17
03/05/2014,09:57,37.46,37.46,37.46,37.46,140
03/05/2014,09:58,37.46,37.46,37.11,37.11,110
03/05/2014,10:10,37.4499,37.4499,37.4499,37.4499,100
03/05/2014,10:12,37.4325,37.4325,37.4325,37.4325,32
03/05/2014,10:15,37.1101,37.1101,37.1101,37.1101,445
03/05/2014,10:17,37.1485,37.1485,37.1485,37.1485,100
03/05/2014,10:19,37.14,37.14,37.14,37.14,39
03/05/2014,10:20,37.14,37.14,37.1,37.1,182
03/05/2014,10:22,37.1,37.1,37.0032,37.0032,246
03/05/2014,10:23,37.01,37.01,37.01,37.01,100
03/05/2014,10:24,37.0,37.05,37.0,37.05,282
03/05/2014,10:29,37.01,37.01,37.01,37.01,110
03/05/2014,10:30,37.115,37.115,37.115,37.115,27
03/05/2014,10:38,37.13,37.13,37.13,37.13,12
03/05/2014,10:39,37.12,37.13,37.12,37.13,1075
03/05/2014,10:40,37.0,37.0,37.0,37.0,100
03/05/2014,10:42,37.17,37.17,37.17,37.17,27
03/05/2014,10:43,37.098,37.098,37.098,37.098,100
03/05/2014,10:49,37.16,37.16,37.16,37.16,29
03/05/2014,10:50,37.0101,37.0101,37.0101,37.0101,2
03/05/2014,10:52,37.17,37.17,37.05,37.05,127
03/05/2014,10:57,37.17,37.22,37.17,37.22,300
03/05/2014,10:59,37.1401,37.1401,37.1401,37.1401,201
03/05/2014,11:01,37.22,37.27,37.22,37.27,6
03/05/2014,11:02,37.39,37.39,37.39,37.39,1
03/05/2014,11:05,37.22,37.245,37.22,37.245,28
03/05/2014,11:11,37.26,37.26,37.26,37.26,27
03/05/2014,11:18,37.13,37.13,37.13,37.13,105
03/05/2014,11:19,37.13,37.13,37.13,37.13,100
03/05/2014,11:20,37.1,37.1,37.1,37.1,3
03/05/2014,11:22,37.29,37.29,37.2,37.2,501
03/05/2014,11:23,37.2,37.2,37.2,37.2,100
03/05/2014,11:26,37.2,37.2,37.2,37.2,32
03/05/2014,11:37,37.245,37.245,37.245,37.245,31
03/05/2014,11:44,37.3118,37.39,37.31,37.39,126
03/05/2014,11:58,37.37,37.37,37.37,37.37,26
03/05/2014,11:59,37.25,37.25,37.25,37.25,100
03/05/2014,12:11,37.25,37.25,37.25,37.25,100
03/05/2014,12:15,37.37,37.37,37.37,37.37,27
03/05/2014,12:20,37.37,37.37,37.37,37.37,26
03/05/2014,12:24,37.37,37.4,37.37,37.37,393
03/05/2014,12:27,37.47,37.47,37.47,37.47,28
03/05/2014,12:33,37.365,37.4,37.365,37.4,170
03/05/2014,12:36,37.23,37.23,37.23,37.23,1
03/05/2014,12:39,37.23,37.23,37.23,37.23,100
03/05/2014,12:42,37.2842,37.2842,37.2842,37.2842,100
03/05/2014,12:43,37.4,37.4,37.271,37.271,300
03/05/2014,12:44,37.42,37.49,37.42,37.49,26
03/05/2014,12:48,37.27,37.4,37.27,37.4,200
03/05/2014,12:58,37.48,37.48,37.42,37.42,326
03/05/2014,13:04,37.48,37.48,37.48,37.48,25
03/05/2014,13:11,37.42,37.42,37.42,37.42,3
03/05/2014,13:13,37.346,37.346,37.346,37.346,275
03/05/2014,13:15,37.0778,37.0778,37.0778,37.0778,3
03/05/2014,13:17,37.265,37.265,37.265,37.265,200
03/05/2014,13:18,37.18,37.18,37.18,37.18,100
03/05/2014,13:23,37.46,37.46,37.46,37.46,52
03/05/2014,13:27,37.4,37.4,37.4,37.4,175
03/05/2014,13:30,37.1,37.4,37.1,37.4,200
03/05/2014,13:33,37.377,37.377,37.377,37.377,100
03/05/2014,13:39,37.5,37.5,37.5,37.5,65
03/05/2014,13:41,37.43,37.5,37.43,37.5,26
03/05/2014,13:46,37.4899,37.4899,37.4899,37.4899,200
03/05/2014,13:55,37.43,37.43,37.43,37.43,25
03/05/2014,13:57,37.27,37.27,37.27,37.27,100
03/05/2014,14:05,37.27,37.27,37.27,37.27,100
03/05/2014,14:09,37.47,37.47,37.47,37.47,26
03/05/2014,14:11,37.1462,37.1462,37.1462,37.1462,1
03/05/2014,14:14,37.48,37.48,37.48,37.48,50
03/05/2014,14:15,37.06,37.06,37.06,37.06,100
03/05/2014,14:16,37.47,37.47,37.47,37.47,26
03/05/2014,14:20,37.48,37.48,37.48,37.48,1200
03/05/2014,14:21,37.48,37.49,37.2001,37.2001,877
03/05/2014,14:26,37.49,37.49,37.49,37.49,25
03/05/2014,14:27,37.42,37.49,37.42,37.49,152
03/05/2014,14:28,37.36,37.36,37.36,37.36,39
03/05/2014,14:31,37.34,37.48,37.25,37.415,2500
03/05/2014,14:35,37.49,37.49,37.49,37.49,7
03/05/2014,14:37,37.46,37.46,37.395,37.395,131
03/05/2014,14:38,37.395,37.395,37.395,37.395,100
03/05/2014,14:45,37.48,37.48,37.43,37.48,1048
03/05/2014,14:47,37.49,37.49,37.49,37.49,28
03/05/2014,14:51,37.49,37.49,37.49,37.49,25
03/05/2014,15:04,37.49,37.49,37.49,37.49,27
03/05/2014,15:06,37.49,37.49,37.49,37.49,25
03/05/2014,15:09,37.49,37.49,37.311,37.445,1276
03/05/2014,15:11,37.45,37.45,37.45,37.45,200
03/05/2014,15:12,37.48,37.48,37.48,37.48,200
03/05/2014,15:13,37.45,37.45,37.45,37.45,100
03/05/2014,15:15,37.46,37.46,37.46,37.46,100
03/05/2014,15:16,37.46,37.46,37.46,37.46,3
03/05/2014,15:20,37.5,37.5,37.5,37.5,12
03/05/2014,15:25,37.45,37.46,37.45,37.45,242
03/05/2014,15:27,37.48,37.48,37.48,37.48,125
03/05/2014,15:30,37.46,37.46,37.46,37.46,27
03/05/2014,15:32,37.5,37.5,37.5,37.5,27
03/05/2014,15:33,37.5,37.5,37.5,37.5,657
03/05/2014,15:34,37.53,37.53,37.53,37.53,25
03/05/2014,15:36,37.46,37.53,37.45,37.5,201
03/05/2014,15:37,37.5,37.5,37.5,37.5,54
03/05/2014,15:41,37.53,37.53,37.53,37.53,30
03/05/2014,15:44,37.5025,37.5025,37.5025,37.5025,100
03/05/2014,15:46,37.53,37.53,37.53,37.53,25
03/05/2014,15:49,37.53,37.53,37.53,37.53,8
03/05/2014,15:50,37.53,37.53,37.53,37.53,28
03/05/2014,15:51,37.49,37.5,37.47,37.5,92
03/05/2014,15:52,37.49,37.49,37.49,37.49,45
03/05/2014,15:54,37.48,37.48,37.48,37.48,100
03/05/2014,15:55,37.51,37.51,37.51,37.51,2
03/05/2014,15:57,37.46,37.46,37.46,37.46,72
03/05/2014,15:58,37.485,37.485,37.485,37.485,14
03/05/2014,15:59,37.45,37.48,37.45,37.48,2448
03/05/2014,16:00,37.47,37.53,37.47,37.4901,603
03/05/2014,16:04,37.5,37.53,37.5,37.53,557
03/05/2014,17:13,37.53,37.53,37.53,37.53,3
